"Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","regulation"
"ZMAT3",15.0520183418008,-1.07903941991172,0.201290056581123,-5.36061958667517,8.29370024737726e-08,5.80177843808295e-07,"Yes","Downregulated"
"MRGPRD",1.3717681122721,-1.37088342586887,0.419295252969098,-3.26949426725302,0.00107739920463796,0.00299068335451555,"Yes","Downregulated"
"BNC2",51.7228210572689,-1.0522580895341,0.182339529398041,-5.77087202653165,7.88623508450293e-09,6.78483673190985e-08,"Yes","Downregulated"
"CCDC63",1.10135149308826,1.03506648006512,0.390846130065041,2.64827102136811,0.00809046360520549,0.0181538473893216,"Yes","Upregulated"
"PPP1R3B",1.43498323223412,-1.69016885424544,0.397802350925466,-4.24876537384294,2.14951905497303e-05,8.8365891377633e-05,"Yes","Downregulated"
"MAP3K11",1138.85594663808,1.37068940746167,0.125575133286351,10.9152932717663,9.74143841265133e-28,3.29201024808975e-25,"Yes","Upregulated"
"TRIB1",328.165729758747,-1.5583226384237,0.24953435582846,-6.24492220019178,4.24011112442859e-10,4.71554942748787e-09,"Yes","Downregulated"
"C1QA",15075.324110135,1.15810121975522,0.179032773773763,6.46865484650684,9.88791593808192e-11,1.26119262995158e-09,"Yes","Upregulated"
"OLR1",450.518560143222,-1.11553416837352,0.24435210521782,-4.56527340895679,4.98843759004542e-06,2.36720739366536e-05,"Yes","Downregulated"
"PPP1R14B",364.577847791122,1.29312749637299,0.154302865524064,8.38045030454298,5.2725591056447e-17,2.03171502245993e-15,"Yes","Upregulated"
"SULT1B1",15.0345373546867,-1.22085443478208,0.277058528803751,-4.4064856622654,1.05061259172495e-05,4.62842233185145e-05,"Yes","Downregulated"
"SLC19A1",618.339359253257,1.15971635060773,0.155784811156941,7.44434802080548,9.74243574152722e-14,2.13364015370497e-12,"Yes","Upregulated"
"EIF1AX",29.4085467918801,-1.44817299749041,0.437963978541055,-3.3066029820867,0.000944346312980487,0.00267004418058647,"Yes","Downregulated"
"LEMD3",59.9882762314127,-1.09659731047388,0.166682828619498,-6.57894589116425,4.73795137335133e-11,6.37250970797217e-10,"Yes","Downregulated"
"PRPF8",3452.76327057057,1.26373235163051,0.118784117467823,10.6389000362177,1.96434550168475e-26,4.72089086687789e-24,"Yes","Upregulated"
"AKIRIN1",145.268371899337,-1.29067829147235,0.249457886439951,-5.17393260197864,2.29217535576188e-07,1.46745821496638e-06,"Yes","Downregulated"
"NPAS4",2.98362942092766,-1.74443438579123,0.425488915382126,-4.09983509023867,4.13444640170788e-05,0.00016019444956978,"Yes","Downregulated"
"SH3PXD2B",224.233420264536,1.99783172223131,0.249095241440097,8.02035282039601,1.05441858703799e-15,3.25320194125827e-14,"Yes","Upregulated"
"NR1D2",37.6621312876559,-1.01000160182293,0.194137570943002,-5.20250457918556,1.96620513192314e-07,1.27304986652167e-06,"Yes","Downregulated"
"BRMS1",526.147053621215,1.1772669190228,0.121656689255665,9.67696002764584,3.77782152261954e-22,3.61266545081916e-20,"Yes","Upregulated"
"PCP2",27.181985723124,1.93541374578566,0.518644280450728,3.73167856802293,0.000190208107370716,0.000631258125620933,"Yes","Upregulated"
"PDE12",101.793193662951,-1.03991160955575,0.247989164903253,-4.19337518218366,2.7483432848945e-05,0.000110593721301163,"Yes","Downregulated"
"YIF1A",1086.20287508151,1.24943482071082,0.12960325832367,9.64045840260047,5.3946529287375e-22,4.92666678716952e-20,"Yes","Upregulated"
"YPEL2",22.7620828662031,-1.00309649710703,0.191548365851851,-5.23677919488415,1.63402984210862e-07,1.0778459756632e-06,"Yes","Downregulated"
"MED16",2044.88597293369,1.24358190199701,0.114051201064342,10.90371596609,1.10644309407797e-27,3.60878269880966e-25,"Yes","Upregulated"
"NRIP3",4.46793417983657,-1.24734934137014,0.381927244136972,-3.26593444306058,0.00109103504493686,0.00302439749518466,"Yes","Downregulated"
"ZNF25",13.3542323249956,-1.69449994298263,0.299769148824353,-5.65268290492264,1.57962561299305e-08,1.27832794954887e-07,"Yes","Downregulated"
"SART1",1453.99325971826,1.29541050604235,0.110062961790927,11.7697223931069,5.59081853427655e-32,6.80775336857075e-29,"Yes","Upregulated"
