"Gene_symbol","ng","mean_abs_logfc","GSE184316","GSE150910.biopsy","GSE150910.explant","GSE47460","metaFIN_pval","metaFIN_padj"
"TMEM89",7.42801101839402,1.28072071139775,4.06742746363631,-1.00385371041479,0.778588380971737,NA,1.10134124042816e-13,2.1202560282171e-12
"RBM15B",7.42707870927694,1.37344705624486,1.37344705624486,NA,NA,NA,5.55111512312578e-14,1.11572119440962e-12
"MTVR2",7.42628709925311,3.50621928504804,3.50621928504804,NA,NA,NA,5.58442181386454e-14,1.12159263629633e-12
"H2AC25",7.42602426004878,1.86001567054443,1.86001567054443,NA,NA,NA,5.59552404411079e-14,1.12299912958546e-12
"FADS6",7.42277130334254,1.92696066347606,4.3521407874197,NA,NA,-0.498219460467589,1.14797060746241e-13,2.20537551132067e-12
"LINC01634",7.42163272927208,4.47162887610622,4.47162887610622,NA,NA,NA,5.78426195829707e-14,1.16002823094838e-12
"RNF213-AS1",7.41886557348265,1.23488407892504,1.23488407892504,NA,NA,NA,5.90638649100583e-14,1.1836536790132e-12
"UGDH-AS1",7.41542395400888,1.72817884040974,1.72817884040974,NA,NA,NA,6.06181771445335e-14,1.21302773036851e-12
"ZNF365",7.41173237319331,1.62170431548518,5.56043350010392,0.179037105669448,0.544549520429298,0.20279713573804,6.22835116814713e-14,1.245442921543e-12
"MYRF",7.40766522887148,1.30135858980718,2.5353007453428,0.606615931316417,0.762159092762326,NA,6.42819131257966e-14,1.28166157938952e-12
"LOC105372309",7.4018135991906,4.81302326428617,4.81302326428617,NA,NA,NA,6.7168492989822e-14,1.33435885819882e-12
"LARRPM",7.39942108633377,2.39744577286522,2.39744577286522,NA,NA,NA,6.83897383169096e-14,1.35665233974782e-12
"URB1-AS1",7.39856147768723,1.8275192054808,1.8275192054808,NA,NA,NA,6.88338275267597e-14,1.36447373740635e-12
"H3C6",7.39813371487281,2.12474782878155,2.12474782878155,NA,NA,NA,6.90558721316847e-14,1.36788547870391e-12
"NFKBID",7.39749459818802,1.31286899294932,1.31286899294932,NA,NA,NA,6.93889390390723e-14,1.37348987353713e-12
"112268253",7.39643607286514,4.13750581907874,4.13750581907874,NA,NA,NA,6.99440505513849e-14,1.38347816957053e-12
"FOXL2",7.39354295265037,2.9860492078444,5.85422904024642,NA,NA,0.117869375442379,7.14983627858601e-14,1.41116545282323e-12
"LOC105370627",7.39289783695628,5.22506770290888,5.22506770290888,NA,NA,NA,7.18314296932476e-14,1.41671851436034e-12
"HNRNPCL2",7.38805516733057,5.63894894605868,5.63894894605868,NA,NA,NA,7.4495964952348e-14,1.46505165819783e-12
"LINC00593",7.38530828330392,4.69155503002963,4.69155503002963,NA,NA,NA,7.60502771868232e-14,1.49454615748423e-12
"IFT70A",7.38472684650893,1.76782109238433,1.76782109238433,NA,NA,NA,7.63833440942108e-14,1.50001556377126e-12
"OR4M2-OT1",7.38357140918766,4.50276799092498,4.50276799092498,NA,NA,NA,7.70494779089859e-14,1.51093088569554e-12
"SPACA4",7.38356340414021,2.05664270584219,3.69766152883258,NA,NA,0.415623882851809,7.70494779089859e-14,1.51093088569554e-12
"ZNRF2P1",7.3797861164788,1.36878927769667,2.59076702461857,NA,NA,0.146811530774761,7.92699239582362e-14,1.55003537961162e-12
"RPRML",7.36541211914083,2.73735272558794,4.84667067416602,NA,NA,0.628034777009866,8.82627304576999e-14,1.71729936142663e-12
"CCDC18-AS1",7.35343372809232,1.74027044936274,1.74027044936274,NA,NA,NA,9.65894031423886e-14,1.87398491436667e-12
"KRTAP10-4",7.35191797739558,3.11623576038871,5.94983893781209,NA,NA,0.282632582965325,9.76996261670138e-14,1.89284388885809e-12
"MIR490",7.35039653676441,2.95709964123397,2.95709964123397,NA,NA,NA,9.88098491916389e-14,1.9130005785194e-12
"SPRYD4",7.34795622682534,1.13202631789468,1.854718127175,NA,NA,0.409334508614363,1.00586206031039e-13,1.94327158971814e-12
