"Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SGK223",0.222796882345394,10.4355871241924,1.58030962038145,0.116237659297659,0.244762625314848,-5.23676068629709
"MAN1C1",0.0455497239254744,6.58207703079795,1.57991506194141,0.11632672822203,0.244922547350727,-5.23736111624924
"TFF2",0.0852897702082798,7.21080857891175,1.57981757345823,0.116349066886455,0.244941950534139,-5.23750978284201
"LOC389834",0.0519826650725639,9.49316456893338,1.57969381317144,0.116377430419092,0.244974031664864,-5.23769850028168
"FLJ34208",0.163339597081651,9.43691771299212,1.57938846524767,0.116448539621166,0.245085073073041,-5.23816518709101
"NDUFS1",0.0779247515967244,7.09474316212473,1.57933084938134,0.116460646558083,0.245085073073041,-5.23825188793307
"DNAJC15",-0.509632252403679,14.4774900141692,-1.57929761773311,0.116469573970419,0.245085073073041,-5.23830388680568
"LOC147804",0.0703211969751604,6.40323125307753,1.57918843034536,0.116493311647541,0.245085278828578,-5.23846899159655
"TEX264",-0.135885121625348,9.80740766074175,-1.57917719274044,0.116495933231564,0.245085278828578,-5.23848616629324
"HYOU1",-0.103713463813425,8.54165857327424,-1.57905414139861,0.116524118689153,0.245116947518656,-5.23867368444057
"PTPRE",-0.106640691447439,9.28935890411002,-1.57890133141116,0.116559182482953,0.245163076520658,-5.23890658795004
"SPANXN2",-0.0611531804398308,9.56101913571169,-1.57839371691318,0.116675719873777,0.245380542134541,-5.23968010635711
"PPARGC1A",0.0434942543712638,6.84465958827225,1.57825273172915,0.116708103448571,0.245420994915229,-5.23989490127643
"C9orf125",-0.0788482636797851,7.5048737292224,-1.57802286513071,0.116760917925131,0.245504397101787,-5.24024506984118
"B7H6",-0.0601540904834073,11.6442770655861,-1.57779651471871,0.116812943050348,0.245586120977107,-5.24058983390478
"SLC15A3",-0.241006334266491,13.6870872285045,-1.5773587529715,0.116914918006018,0.245772828537259,-5.24125779256925
"CD33",-0.0888453931193375,7.88915203380752,-1.57725168921306,0.116938242969577,0.245794178494049,-5.24141948539765
"KCNG4",-0.0928274613434434,10.0482820014436,-1.57711710054364,0.116969212326949,0.245831589695136,-5.24162439225915
"FAM197Y2P",0.0768428867284873,6.43972887886879,1.57700256042366,0.116995573563452,0.245852009513781,-5.24179876256572
"XLOC_004429",-0.323555935099615,13.3104162298788,-1.57696610049591,0.11700527192665,0.245852009513781,-5.24185558138484
"NUBPL",-0.0632308081914686,7.23117156321582,-1.57679714777291,0.117042860783144,0.245885648039571,-5.24211144217797
"TIMELESS",0.0561963192001338,7.9450813348871,1.57677644149704,0.117047628332793,0.245885648039571,-5.24214295913801
"HIST1H2BJ",0.0474531310749745,6.46580278819279,1.57670809201961,0.117063366661398,0.245891035194125,-5.24224699083599
"SFTA3",0.0824254575949907,9.03782367380428,1.57648459172109,0.117114842143545,0.245971478407704,-5.2425871403094
"CIRH1A",-0.11144713185853,10.4531928203434,-1.5762458365964,0.117169850877807,0.246059323428698,-5.24295045498917
"CD79A",0.0691100383795853,7.03847147013969,1.57618780257864,0.117183224903137,0.246059724695359,-5.24303875757515
"PIK3C2G",-0.0506433709454278,6.76836867422167,-1.57605547453545,0.117213724625447,0.246096082129805,-5.2432400916867
"C12orf29",0.109785414354452,8.94420354155926,1.5759879087717,0.117229299996489,0.246101100487512,-5.24334288516966
"GUSBP11",0.0869502879118918,6.49426318255789,1.5757907778746,0.117274752318337,0.246147838901629,-5.24364277268679
"NSA2",0.109617931813606,7.39123842961451,1.57577695923624,0.117277938995563,0.246147838901629,-5.24366379308242
"RNF123",-0.0810091210695306,9.9579249198797,-1.57554693854172,0.117330993507449,0.246231503689738,-5.24401366582765
"AEBP1",0.107984501080878,8.01760457138062,1.5751302542068,0.117427150659595,0.246405594947874,-5.24464733757816
"TAG",-0.0961169296447201,9.46792265996434,-1.57497989175962,0.117461864750103,0.246450731290543,-5.24487596120497
"ARL8A",-0.13968700472897,8.15969977454307,-1.57478077632885,0.117507890772231,0.246514222235802,-5.24517872400649
"C1orf88",0.198326012698448,9.54408797749486,1.57474013639984,0.117518540018975,0.246514222235802,-5.24524175713581
"ELAVL1",0.0902723209874471,8.21632803978398,1.57434433576098,0.117608685108625,0.246675593611921,-5.24584208093732
"HILPDA",0.0975877271921741,10.6412952093458,1.57409661422036,0.117665950883774,0.246767974521982,-5.24621854482101
"KRTAP10-2",0.0620698143489176,6.34546499675347,1.57390692870254,0.117709815420236,0.246832232874812,-5.24650677236322
"METTL11A",0.0878301907399553,6.60704209411934,1.57372677133822,0.117751488587788,0.24689188210414,-5.24678049081257
"MZB1",-0.203914879730509,7.63728199506127,-1.57334246463603,0.117841730024512,0.247053340548975,-5.24736556057954
"XLOC_013981",-0.0857331505561706,7.95885761244273,-1.57326997040413,0.117857206101079,0.247058035925048,-5.2474743865116
"PROCR",0.0818939237030549,6.85311869935469,1.57291922099896,0.117938431153284,0.247200540985519,-5.24800705446363
"TOMM40L",-0.0727679171130688,8.72498511186994,-1.57267694432735,0.117994562461372,0.247290423123906,-5.24837492262189
"ANAPC11",0.0560803754047222,7.6554001018738,1.57195451499058,0.11816206255446,0.247613663138992,-5.24947152045483
"CCDC125",-0.0696876429850588,9.75352058797256,-1.57175366259539,0.118208664998151,0.247670543039548,-5.24977631410693
"LMBRD2",-0.151350242958286,8.38140143501816,-1.5717265480484,0.118215744331065,0.247670543039548,-5.2498182208889
"OR10AD1",-0.106549850578714,9.13599564370332,-1.57166498017332,0.11822924602532,0.247671029973355,-5.24991087778055
"ABRA",-0.0712801738851967,6.45925636255153,-1.5712941891558,0.118315328339437,0.247823544322251,-5.25047342399761
"CCNL2",0.0514184390622649,7.82807011220927,1.57119808110163,0.11833764875218,0.247842483613042,-5.25061921358371
"OS9",0.0801059278543779,11.9041332383251,1.5710324153307,0.11837613128393,0.247890221590249,-5.25087049743449
