"Gene_symbol","ng","metaFIN_pval","metaFIN_padj"
"MIR6892",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PRM3",4.3095781041229,1.63566285229511e-05,2.51456032075948e-05
"NANOS2",5.79548656983953,3.40616901350899e-09,6.71373384531659e-09
"RIMBP3C",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FOXD4",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NOTUM",3.08422999747549,0.0020407975821044,0.00265738480662546
"EPOR",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"KRTAP10-4",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"VIL1",7.95838324009452,8.88178419700125e-16,2.64748114197864e-15
"CTRL",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"APLP1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"RIMBP3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ALPI",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MAMDC4",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC407835",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"26222",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLC6A10PB",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLIT1-AS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PLCD1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ELOA3CP",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NEUROG1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ELOA3DP",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PPFIA3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"STH",4.3034136688721,1.68186401710013e-05,2.58405156388187e-05
"CALML5",1.86928493233154,0.061583183302629,0.0703885537910479
"RHPN1-AS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"KRT8P41",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LINC01096",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"YJEFN3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"YBX2",3.68197800964611,0.0002314313770857,0.000326197630096097
