"Gene_symbol","ng","mean_abs_logfc","GSE184316","GSE150910.biopsy","GSE150910.explant","GSE47460","metaFIN_pval","metaFIN_padj"
"HASPIN",3.9061225878587,1.20257128240672,3.16217404526982,0.451630316642695,-0.0060905146923451,NA,9.37889446015472e-05,0.0003842303181336
"ZNF534",3.90435234912231,1.100084386466,4.4004612205749,0.175772405863627,-0.201443049698388,0.0255469691238773,9.44780509701815e-05,0.000386648671396493
"CELSR3",3.90138949945978,1.02727782484955,4.27426582689536,-0.308866394724274,0.379245959625243,-0.235534092398132,9.56421180022815e-05,0.000390770443351604
"IFNA1",3.90106575388728,1.14678668946463,4.24437604586083,-1.16850559277941,0.364489615312462,NA,9.57701312078729e-05,0.000391235124431804
"KCNA10",3.89904796654078,1.19810569030776,4.01959568263245,-0.380505040322237,-0.0447735713869263,NA,9.65716443732667e-05,0.000393980669784906
"MAGEA2",3.89896560170157,2.60680831986009,6.96775699434018,0.580195350264681,0.272472614975416,NA,4.83022479071948e-05,0.000210305162335919
"CTAGE1",3.89187601721581,1.17440374150582,4.90664329258321,0.180616167002237,-0.409674839985488,0.0200303464233088,9.94720764855295e-05,0.000404908994847114
"USP17L20",3.88846610571676,4.40850182890375,8.70124752589797,NA,0.115756131909529,NA,5.04398773336634e-05,0.000218673910358555
"CLCN1",3.8864493683348,1.67002832436459,6.33156064318509,0.0209657089562331,0.279617600384886,0.0479693449321511,5.0860565404931e-05,0.000220358245969964
"MYT1",3.88287890957921,1.03886021796485,4.3447185064875,0.135396325848512,-0.430604869441754,0.105930908965156,0.000103226981174931,0.000418328868237756
"OR5M11",3.88110437219107,1.20199284741043,3.9324138507096,0.0869634801727855,0.643079762920431,0.145514295838894,5.19916001808785e-05,0.000224760910045
"OR4C6",3.87350448818824,1.01028778565383,4.33194420424756,1.50707720348953,-1.87064854190468,0.0727782767828924,0.000107281430032469,0.000433221517650277
"KLHL34",3.87011968708327,1.2396629134249,5.2617035612277,-0.106714136176982,-0.172080525591347,-0.0242572457597657,0.000108781934451851,0.000438698821479239
"CYP1A1",3.86847914556857,1.55270463010178,7.07068777301623,0.445151139990488,-1.06496278557461,-0.240057607024985,0.000109516300909052,0.000441270637358945
"AC010487.3",3.86547417918683,2.22633720323527,NA,-1.2281258793617,-3.22454852710884,NA,5.54367895084784e-05,0.000238151301330526
"PTH",3.86480623770428,1.87890055232269,3.73088099320289,NA,NA,0.0269201114424819,5.55887108897313e-05,0.000238766499658857
"LCE1D",3.86289252173224,2.52703805552288,4.99260420165799,NA,NA,0.0614719093877729,5.60261576566523e-05,0.000240419265194861
"ZPR1",3.86230796224079,1.30271064142629,3.94642881403954,0.049822012897906,-0.088118902658588,NA,0.000112320850610859,0.000451839897574812
"KRT71",3.84730453790427,1.63562388362095,4.78957001441444,-0.16075598104458,0.278057617492997,NA,0.000119424486608066,0.000477610775274157
"OR10G4",3.84287148633585,1.14281683170438,4.87965069155566,-0.177142837664511,-0.102887490131598,-0.0283530369420476,0.000121603152017258,0.0004854733823248
"CYP11B1",3.84110690373503,1.62434210000108,7.70612515549267,-0.292325339869301,-1.1471674129396,0.230735997320562,0.000122480755325727,0.000488407611666417
"KRTAP5-8",3.83823786067447,1.03722647614598,4.59168529884982,-1.0737990772028,0.609739345025542,0.0212803379113686,0.000123920412748335,0.000493645442379037
"MTRNR2L6",3.83190680928469,1.18643975956977,4.56966524491297,-0.759301658887564,-0.251044307316092,NA,0.000127153906569033,0.000505570576263956
"OLIG3",3.81520865303359,2.16728246718328,6.94267459184376,1.59684783339002,0.0132149366547069,0.116392506844623,6.8033955612723e-05,0.000287001880814682
"USP17L15",3.81474226587932,2.26606633617644,6.08048794460585,0.389069610701492,0.328641453221962,NA,6.81625694085586e-05,0.000287500167659348
"RXFP4",3.81356917501865,1.4359886048043,4.87405258341109,0.77848603869789,-0.23191314057569,0.323328937683891,0.000136974163065684,0.000541160541849497
"GPR31",3.8125013900949,2.44423598087975,5.86885535901413,2.54700113397246,1.40238308519363,-0.0412956546612145,0.000137567455340992,0.000543245390642916
"KRT6C",3.81247673417338,1.23187513531681,3.5209517795275,NA,0.229300988096764,-0.0546273616738315,0.000137581183437874,0.000543245390642916
"DDX53",3.81039739371926,1.08654326854106,4.31426778267026,-1.05826108936656,0.00362311231948528,NA,0.000138743588131485,0.000547283023306267
"SLC22A6",3.80632085187281,1.02026437432105,5.65526895880727,-0.934999939615739,-0.612709766613485,-0.0265017552938582,0.000141049376664704,0.000555578385870533
"KRTAP10-10",3.79529053053557,1.75366617654639,6.79977186692509,0.0561393555045961,0.211622207475841,-0.0528687237199821,0.000147470660710303,0.000578376342184501
"OR2T11",3.79333305678899,1.16313035769085,5.28626759990561,-0.165812758092871,-0.337989985850428,-0.129943425198914,0.000148638575360849,0.00058253988154656
"INS",3.79254418980219,2.53044282858148,6.50642404123767,NA,1.12954930904621,-0.0446448645394298,0.000149111705409766,0.000584059932756725
"PRAMEF11",3.78511731306686,1.61157365246326,3.12465691317039,NA,NA,0.098490391756137,7.68180432682009e-05,0.000320504157071636
"OXCT2",3.78362517052871,1.42345012840013,4.24912364401852,-0.170853142190283,0.192079883372139,NA,0.000154560538070614,0.000603418261428597
"RTBDN",3.78148655023802,1.76472553881981,6.97249731890503,0.159632820482557,-0.120778016503748,0.0475500323953926,0.000155894646120425,0.000608020192264954
"SLC25A52",3.77496937191004,1.21924190325398,4.08076222541537,-0.269652069083593,-0.153384446569825,NA,0.000160027324302092,0.000622189689079736
"MPC1L",3.77443672598265,1.89129584844139,6.31384848948306,-0.527006494394043,-0.112954449764834,NA,0.000160369604410127,0.000623255116018644
"OR4K14",3.76233739027019,2.06580926686085,4.12361021176856,NA,NA,0.00800832195314879,8.41663765550615e-05,0.000348298774278839
"FUT9",3.7555651747672,1.40274608373849,2.71187701748537,NA,NA,0.0936151499916114,8.64753724445499e-05,0.000357052573078185
"CABP7",3.75555978414669,2.78736620060032,5.56642968590998,NA,NA,0.00830271529066818,8.64772338884379e-05,0.000357052573078185
"OR13H1",3.7490686971608,2.75029577844922,5.49688584440455,NA,NA,0.00370571249388565,8.87462325845911e-05,0.000365429586901379
"NUP210L",3.74829992690461,1.01817429497749,5.1389718773147,-0.489920966225952,-0.51460904931236,-0.0617446818664324,0.000178037276406195,0.000685307178185714
"PTPN5",3.74551788502694,1.12276469462131,4.76547002867168,-0.646692110849377,0.515034410555942,-0.142753549893009,0.00018002202073264,0.00069207174543512
"FAM170A",3.74233649851797,1.83420394858484,5.5059697167346,-0.670288438555035,0.666930567574956,NA,0.000182317154476586,0.000699790472681455
"SPATA31A6",3.74160928831761,3.3144973910036,6.51196516451784,NA,0.117029617489362,NA,9.14228157197217e-05,0.000375491459766383
"OR1L8",3.73678413042263,1.24883706956106,4.48606706809795,-0.535874149820926,-0.203681709593829,NA,0.000186388809078064,0.000713843341911585
"CSH2",3.73074770874027,1.74304874032519,7.33941506243578,-0.357898624893732,-0.248565574349472,0.23924409810818,0.000190912331569981,0.000728621248726614
"RLN1",3.72824896811744,1.49561072367807,5.51152769143223,0.432929043501887,0.132744550382459,-0.0947583906043108,0.000192814843745781,0.000735267628677014
"OR3A1",3.72751850558453,1.33235964215258,5.36254633791418,0.912770472883267,-0.81840711660301,-0.127471125584106,0.000193374366152854,0.000736976388293373
"HERC2P4",3.72512828081911,1.55733319810938,3.03290989357245,NA,NA,0.0817565026463104,9.76079615530034e-05,0.000397912218265555
"RBMXL2",3.71998872363182,1.28079188239408,5.15524938279698,0.131730753041437,-0.0909436346990917,-0.0728689715629873,0.000199231672994626,0.000755739640222624
"HOXC12",3.71962369166343,1.02065177244422,1.89776155512676,NA,NA,0.143541989761674,9.97599098609969e-05,0.000405839385995558
