"Gene_symbol","ng","metaFIN_pval","metaFIN_padj"
"LINC00896",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"MST1P2",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"MIR6816",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"PKLR",2.60180321254276,0.00927350476539313,0.0231964630248306
"LOC105372862",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"SPDYC",4.86680849015462,1.13414832814129e-06,6.95535117730528e-06
"LINC02897",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"SHBG",3.47281639912566,0.00051502754940369,0.00178529415613237
"RNF208",9.09829208259919,0,0
"INS-IGF2",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"KRTAP10-11",3.0011638069257,0.00134474921049887,0.00422179745835625
"CYP11B1",3.84110690373503,0.000122480755325727,0.000488407611666417
"USP17L13",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"RXFP3",4.78405399405502,1.7179450291227e-06,1.01604283404181e-05
"KRTAP10-8",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"KRTAP10-7",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"LENEP",2.96872458726693,0.00299038486882441,0.00858626909982652
"OLIG3",3.81520865303359,6.8033955612723e-05,0.000287001880814682
"POU3F1",3.44363334070673,0.000286976747599144,0.00105370969045417
"USP17L17",6.04072116324676,1.53426915616706e-09,1.58668567509236e-08
"USP17L11",5.59260279737183,2.23690632683571e-08,1.88960989280494e-07
"FFAR1",5.1760514791578,2.26630949118345e-07,1.58381501303496e-06
"GOLGA6A",3.57371362665959,0.000351953847321118,0.00126632199203599
"KRTAP10-2",4.16407443692766,3.12618120630326e-05,0.000141908424435257
"ADRA2B",10.05452107195,0,0
"USP17L9P",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"TEX44",4.66440605676141,3.09509685614273e-06,1.73750365520554e-05
"USP17L15",3.81474226587932,6.81625694085586e-05,0.000287500167659348
"TIGD5",-0.524523076707965,0.599914773544026,0.785107974071494
"CDHR5",5.36272447424288,8.19759988779367e-08,6.23641346642898e-07
"PSAPL1",5.5536554108271,2.79756713350565e-08,2.33158964473341e-07
"TMEM121B",7.69553638298138,6.99440505513849e-15,1.56290152108906e-13
"FOXD4L6",5.73918839382727,9.51313472441484e-09,8.62954721110412e-08
"KBTBD13",6.20167538265054,5.58652235582713e-10,6.21115178319335e-09
"KLHL34",3.87011968708327,0.000108781934451851,0.000438698821479239
"PSPN",8.14942172909043,2.22044604925031e-16,5.91722952521521e-15
"CLDN19",7.67995449541635,1.59872115546023e-14,3.42967627672928e-13
"LOC101929627",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"ACTL9",3.45690059603122,0.000273213186010812,0.00100817284897174
"SCGB2B2",5.02585160165399,5.01203361924496e-07,3.26993715168411e-06
"GOLGA6C",5.68420872205312,1.31419697346757e-08,1.15875204660908e-07
"TTBK1",6.57114928448205,4.99282837296278e-11,6.65588969719296e-10
"SLC34A3",0.774036206548255,0.438909380432009,0.616611409073584
"102723930",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
